Move title,Release year,Director,Cast,Rating,Users rated,Href
The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins, Morgan Freeman",9.2,2754797,/title/tt0111161/
The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino",9.2,1916680,/title/tt0068646/
The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger",9.0,2727660,/title/tt0468569/
The Godfather Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro",9.0,1304919,/title/tt0071562/
12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",9.0,816084,/title/tt0050083/
Schindler's List,1993,Steven Spielberg,"Liam Neeson, Ralph Fiennes",8.9,1388740,/title/tt0108052/
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen",8.9,1892190,/title/tt0167260/
Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Uma Thurman",8.8,2115661,/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen",8.8,1920707,/title/tt0120737/
"The Good, the Bad and the Ugly",1966,Sergio Leone,"Clint Eastwood, Eli Wallach",8.8,779311,/title/tt0060196/
Spider-Man: Across the Spider-Verse,2023,Joaquim Dos Santos,"Shameik Moore, Hailee Steinfeld",8.8,140370,/title/tt9362722/
Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright",8.8,2142897,/title/tt0109830/
Fight Club,1999,David Finche,"Brad Pitt, Edward Norton",8.7,2193487,/title/tt0137523/
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen",8.7,1707703,/title/tt0167261/
Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,2420787,/title/tt1375666/
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershne,"Mark Hamill, Harrison Ford",8.7,1324847,/title/tt0080684/
The Matrix,1999,Lana Wachowsk,"Keanu Reeves, Laurence Fishburne",8.7,1963523,/title/tt0133093/
Goodfellas,1990,Martin Scorsese,"Robert De Niro, Ray Liotta",8.7,1195635,/title/tt0099685/
One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson, Louise Fletcher",8.6,1031120,/title/tt0073486/
Se7en,1995,David Finche,"Morgan Freeman, Brad Pitt",8.6,1703258,/title/tt0114369/
It's a Wonderful Life,1946,Frank Capra,"James Stewart, Donna Reed",8.6,473252,/title/tt0038650/
Seven Samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",8.6,353668,/title/tt0047478/
The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins",8.6,1471679,/title/tt0102926/
Saving Private Ryan,1998,Steven Spielberg,"Tom Hanks, Matt Damon",8.6,1427394,/title/tt0120815/
City of God,2002,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",8.6,772656,/title/tt0317248/
Interstellar,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",8.6,1921128,/title/tt0816692/
Life Is Beautiful,1997,Roberto Benign,"Roberto Benigni, Nicoletta Braschi",8.6,712905,/title/tt0118799/
The Green Mile,1999,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",8.6,1339450,/title/tt0120689/
Star Wars: Episode IV - A New Hope,1977,George Lucas,"Mark Hamill, Harrison Ford",8.5,1397102,/title/tt0076759/
Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",8.5,1126379,/title/tt0103064/
Back to the Future,1985,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",8.5,1243125,/title/tt0088763/
Spirited Away,2001,Hayao Miyazak,"Daveigh Chase, Suzanne Pleshette",8.5,793324,/title/tt0245429/
The Pianist,2002,Roman Polansk,"Adrien Brody, Thomas Kretschmann",8.5,859004,/title/tt0253474/
Psycho,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",8.5,689497,/title/tt0054215/
Parasite,2019,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun",8.5,860193,/title/tt6751668/
Léon: The Professional,1994,Luc Besson,"Jean Reno, Gary Oldman",8.5,1192696,/title/tt0110413/
The Lion King,1994,Roger Allers,"Matthew Broderick, Jeremy Irons",8.5,1088930,/title/tt0110357/
